row_id,date,continent_code,country_name,country_code,state_province,population,city_town,distance,latitude,longitude,hazard_type,landslide_type,landslide_size,trigger
7416,2015-09-27,NA,Guatemala,GT,Sololá,3588,San Antonio Palopó,3.18658,14.7038,-91.0873,Landslide,Landslide,medium,Rain
7417,2015-09-27,NA,Guatemala,GT,Sololá,2605,San Andrés Semetabaj,0.6704,14.744,-91.1344,Landslide,Landslide,medium,Rain
7418,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,3.80312,14.6317,-90.4792,Landslide,Landslide,medium,Rain
7419,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,1.6829,14.6297,-90.5025,Landslide,Landslide,medium,Rain
7420,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,2.08425,14.6219,-90.5119,Landslide,Landslide,medium,Rain
7421,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,3.25675,14.6277,-90.4862,Landslide,Landslide,medium,Rain
7422,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,3.49341,14.6268,-90.4842,Landslide,Landslide,medium,Rain
7423,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,1.83863,14.6217,-90.4956,Landslide,Landslide,medium,Rain
7424,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,1.57381,14.6281,-90.5065,Landslide,Landslide,medium,Rain
7425,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,1.70147,14.6429,-90.5352,Landslide,Landslide,medium,Rain
7426,2015-09-27,NA,Guatemala,GT,Guatemala,994938,Guatemala City,3.00314,14.617,-90.4997,Landslide,Landslide,medium,Rain
7427,2015-09-27,NA,Guatemala,GT,Quiché,79759,Chichicastenango,2.27725,14.9233,-91.1352,Landslide,Landslide,medium,Rain
7429,2015-11-23,NA,Guatemala,GT,Guatemala,97172,Chinautla,2.66358,14.6881,-90.486,Landslide,Landslide,medium,Rain
7432,2015-09-23,NA,Guatemala,GT,Sacatepéquez,3214,Santa Catarina Barahona,1.452,14.5558,-90.7998,Landslide,Landslide,medium,Continuous rain
7433,2015-10-15,NA,Guatemala,GT,Alta Verapaz,4671,Cahabón,5.14479,15.5779,-89.7321,Landslide,Landslide,medium,Rain
7435,2015-11-24,NA,Guatemala,GT,Guatemala,122194,Villa Canales,0.65744,14.4758,-90.5312,Landslide,Landslide,small,Rain
7437,2015-11-24,NA,Belize,BZ,Cayo,13381,Belmopan,9.71758,17.2183,-88.8519,Landslide,Rockfall,small,Mining digging
7438,2015-07-18,NA,El Salvador,SV,Santa Ana,10095,Ciudad Arce,1.1581,13.8464,-89.4502,Landslide,Landslide,small,Rain
7442,2015-10-19,NA,El Salvador,SV,Sonsonate,9936,Juayúa,0.49346,13.8457,-89.7445,Landslide,Landslide,medium,Downpour
7444,2015-10-29,NA,Costa Rica,CR,San José,26047,San Juan,0.72957,9.9574,-84.0879,Landslide,Landslide,medium,Rain
7445,2015-09-17,NA,Mexico,MX,Veracruz,1005,Cruz Verde,2.478,19.1331,-97.1317,Landslide,Landslide,medium,Rain
7446,2015-09-28,NA,Honduras,HN,Francisco Morazán ,1438,El Lolo,1.85897,14.1105,-87.2507,Landslide,Landslide,medium,Rain
7447,2015-09-28,NA,Honduras,HN,Francisco Morazán ,850848,Tegucigalpa,3.25281,14.0651,-87.182,Landslide,Other,small,Downpour
7449,2015-12-15,NA,Honduras,HN,Choluteca,1199,Corpus,0.36987,13.2861,-87.0329,Landslide,Rockfall,small,Rain
7452,2015-11-16,NA,Panama,PA,Colón,29607,Cativá,0.63948,9.3626,-79.8221,Landslide,Landslide,medium,Rain
7454,2015-10-16,NA,Honduras,HN,Comayagua,1389,El Sauce,7.28575,14.4837,-87.7152,Landslide,Rockfall,medium,Rain
7455,2015-10-29,NA,Honduras,HN,Comayagua,4673,La Libertad,17.28613,14.9064,-87.593,Landslide,Landslide,medium,Continuous rain
7456,2015-10-16,NA,Honduras,HN,Comayagua,1470,Concepción de Guasistagua,8.52584,14.5742,-87.7286,Landslide,Landslide,medium,Rain
7459,2015-11-21,NA,Honduras,HN,Copán,1340,Ojos de Agua,1.39095,14.6893,-88.8098,Landslide,Landslide,medium,Rain
7460,2015-09-25,NA,Honduras,HN,La Paz,1463,San José,4.69133,14.2801,-87.9369,Landslide,Landslide,medium,Rain
